cod_imovel,total_candidates,relationship_candidates,delivery_candidates,widened,no_match,nearest_by_far
GO-5212204-011050C9BC804D77A80A4F161A120C5A,4,1,3,0,0,0
GO-5212204-0E3C72FBAFCA4422AE312548AA7331C0,3,1,2,0,0,0
GO-5212204-0F4C0661AD054C0883A19B9670A7A0F0,2,1,1,0,0,0
GO-5212204-118F8241E57F4C21AF20F2486C2316F9,3,1,2,0,0,0
GO-5212204-1388D04145DA42C49E1692A41D96CDB5,2,1,1,0,0,0
GO-5212204-156094615E67476AB099D9F46F6C0655,1,1,0,0,1,0
GO-5212204-162DBAFE85134130B3480CF2ED130BFA,1,1,0,0,1,0
GO-5212204-16833B91FD32494C864B458F765C0755,3,1,2,0,0,0
GO-5212204-1C88EF1B3499490DB39608D89AA62FA5,4,1,3,0,0,0
GO-5212204-1E2963990BB04DAF9B1A8E86549F116C,3,1,2,0,0,0
