cod_imovel,entity_id,tier,distance_km
GO-5212204-00000000000000000000000000000000,buyer_0,slaughter_point,45.2
GO-5212204-00000000000000000000000000000001,buyer_1,slaughter_point,50.2
GO-5212204-00000000000000000000000000000002,buyer_2,slaughter_point,55.2
GO-5212204-00000000000000000000000000000003,buyer_3,slaughter_point,60.2
GO-5212204-00000000000000000000000000000004,buyer_4,slaughter_point,65.2
GO-5212204-00000000000000000000000000000005,buyer_5,slaughter_point,70.2
GO-5212204-00000000000000000000000000000006,buyer_6,slaughter_point,75.2
GO-5212204-00000000000000000000000000000007,buyer_7,slaughter_point,80.2
GO-5212204-00000000000000000000000000000008,buyer_8,slaughter_point,85.2
GO-5212204-00000000000000000000000000000009,buyer_9,slaughter_point,90.2
