cod_imovel,entity_id,evidence
GO-5212204-00000000000000000000000000000000,5212204,150.0
GO-5212204-00000000000000000000000000000001,5212204,160.0
GO-5212204-00000000000000000000000000000002,5212204,170.0
GO-5212204-00000000000000000000000000000003,5212204,180.0
GO-5212204-00000000000000000000000000000004,5212204,190.0
GO-5212204-00000000000000000000000000000005,5212204,200.0
GO-5212204-00000000000000000000000000000006,5212204,210.0
GO-5212204-00000000000000000000000000000007,5212204,220.0
GO-5212204-00000000000000000000000000000008,5212204,230.0
GO-5212204-00000000000000000000000000000009,5212204,240.0
